,Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Max Temp,Max Temp Flag,Min Temp,Min Temp Flag,Avg Temp,Avg Temp Flag
1,Ada,47.32119,-96.51406,910,2022.0,10.0,29.0,60.584,,30.619,,45.602,
2,Ada,47.32119,-96.51406,910,2022.0,10.0,30.0,58.784,,22.091,,40.438,
3,Ada,47.32119,-96.51406,910,2022.0,10.0,31.0,64.022,,35.074,,49.548,
4,Ada,47.32119,-96.51406,910,2022.0,11.0,1.0,70.610,,27.538,,49.074,
5,Ada,47.32119,-96.51406,910,2022.0,11.0,2.0,68.216,,51.998,,60.107,
6,Ada,47.32119,-96.51406,910,2022.0,11.0,3.0,54.500,,32.760,,43.630,
7,Ada,47.32119,-96.51406,910,2022.0,11.0,4.0,40.240,,16.214,,28.227,
8,Ada,47.32119,-96.51406,910,2022.0,11.0,5.0,44.958,,15.710,,30.334,
9,Ada,47.32119,-96.51406,910,2022.0,11.0,6.0,42.814,,24.031,,33.423,
10,Ada,47.32119,-96.51406,910,2022.0,11.0,7.0,35.942,,15.674,,25.808,
11,Ada,47.32119,-96.51406,910,2022.0,11.0,8.0,43.718,,35.847,,39.783,
12,Ada,47.32119,-96.51406,910,2022.0,11.0,9.0,42.922,,30.760,,36.841,
13,Ada,47.32119,-96.51406,910,2022.0,11.0,10.0,31.653,,22.874,,27.264,
14,Ada,47.32119,-96.51406,910,2022.0,11.0,11.0,22.933,,18.009,,20.471,
15,Ada,47.32119,-96.51406,910,2022.0,11.0,12.0,19.850,,16.808,,18.329,
16,Ada,47.32119,-96.51406,910,2022.0,11.0,13.0,24.442,,17.402,,20.922,
17,Ada,47.32119,-96.51406,910,2022.0,11.0,14.0,26.587,,10.670,,18.629,
18,Ada,47.32119,-96.51406,910,2022.0,11.0,15.0,23.581,,14.972,,19.277,
19,Ada,47.32119,-96.51406,910,2022.0,11.0,16.0,22.032,,7.844,,14.938,
20,Ada,47.32119,-96.51406,910,2022.0,11.0,17.0,24.568,,13.802,,19.185,
21,Ada,47.32119,-96.51406,910,2022.0,11.0,18.0,18.941,,2.534,,10.738,
22,Ada,47.32119,-96.51406,910,2022.0,11.0,19.0,17.706,,6.872,,12.289,
23,Ada,47.32119,-96.51406,910,2022.0,11.0,20.0,21.542,,11.336,,16.439,
24,Ada,47.32119,-96.51406,910,2022.0,11.0,21.0,24.845,,15.368,,20.107,
25,Ada,47.32119,-96.51406,910,2022.0,11.0,22.0,27.784,,20.592,,24.188,
26,Ada,47.32119,-96.51406,910,2022.0,11.0,23.0,40.591,,21.092,,30.842,
27,Ada,47.32119,-96.51406,910,2022.0,11.0,24.0,34.288,,17.748,,26.018,
28,Ada,47.32119,-96.51406,910,2022.0,11.0,25.0,37.571,,21.504,,29.538,
29,Ada,47.32119,-96.51406,910,2022.0,11.0,26.0,37.004,,24.739,,30.872,
30,Ada,47.32119,-96.51406,910,2022.0,11.0,27.0,31.062,,15.764,,23.413,
31,Adams,48.49988,-98.07588,1580,2022.0,10.0,29.0,59.774,,33.753,,46.764,
32,Adams,48.49988,-98.07588,1580,2022.0,10.0,30.0,57.812,,25.511,,41.662,
33,Adams,48.49988,-98.07588,1580,2022.0,10.0,31.0,55.508,,31.680,,43.594,
34,Adams,48.49988,-98.07588,1580,2022.0,11.0,1.0,65.174,,31.280,,48.227,
35,Adams,48.49988,-98.07588,1580,2022.0,11.0,2.0,67.280,,40.984,,54.132,
36,Adams,48.49988,-98.07588,1580,2022.0,11.0,3.0,43.995,,22.806,,33.401,
37,Adams,48.49988,-98.07588,1580,2022.0,11.0,4.0,40.536,,12.614,,26.575,
38,Adams,48.49988,-98.07588,1580,2022.0,11.0,5.0,43.115,,23.068,,33.092,
39,Adams,48.49988,-98.07588,1580,2022.0,11.0,6.0,39.175,,20.350,,29.763,
40,Adams,48.49988,-98.07588,1580,2022.0,11.0,7.0,26.753,,12.218,,19.486,
41,Adams,48.49988,-98.07588,1580,2022.0,11.0,8.0,36.682,,26.425,,31.554,
42,Adams,48.49988,-98.07588,1580,2022.0,11.0,9.0,28.485,,16.772,,22.629,
43,Adams,48.49988,-98.07588,1580,2022.0,11.0,10.0,19.539,,13.568,,16.554,
44,Adams,48.49988,-98.07588,1580,2022.0,11.0,11.0,17.845,,3.164,,10.505,
45,Adams,48.49988,-98.07588,1580,2022.0,11.0,12.0,15.332,,7.592,,11.462,
46,Adams,48.49988,-98.07588,1580,2022.0,11.0,13.0,16.790,,10.526,,13.658,
47,Adams,48.49988,-98.07588,1580,2022.0,11.0,14.0,21.022,,14.576,,17.799,
48,Adams,48.49988,-98.07588,1580,2022.0,11.0,15.0,20.554,,4.532,,12.543,
49,Adams,48.49988,-98.07588,1580,2022.0,11.0,16.0,23.394,,-0.004,,11.695,
50,Adams,48.49988,-98.07588,1580,2022.0,11.0,17.0,21.675,,4.694,,13.185,
51,Adams,48.49988,-98.07588,1580,2022.0,11.0,18.0,17.150,,-2.740,,7.205,
52,Adams,48.49988,-98.07588,1580,2022.0,11.0,19.0,18.057,,-2.074,,7.992,
53,Adams,48.49988,-98.07588,1580,2022.0,11.0,20.0,21.952,,6.440,,14.196,
54,Adams,48.49988,-98.07588,1580,2022.0,11.0,21.0,21.519,,15.098,,18.309,
55,Adams,48.49988,-98.07588,1580,2022.0,11.0,22.0,27.723,,16.718,,22.221,
56,Adams,48.49988,-98.07588,1580,2022.0,11.0,23.0,36.691,,19.566,,28.129,
57,Adams,48.49988,-98.07588,1580,2022.0,11.0,24.0,30.304,,20.988,,25.646,
58,Adams,48.49988,-98.07588,1580,2022.0,11.0,25.0,37.292,,21.414,,29.353,
59,Adams,48.49988,-98.07588,1580,2022.0,11.0,26.0,36.374,,21.900,,29.137,
60,Adams,48.49988,-98.07588,1580,2022.0,11.0,27.0,30.175,,9.950,,20.063,
61,Alamo,48.54652,-103.47186,2157,2022.0,10.0,29.0,57.902,,27.804,,42.853,
62,Alamo,48.54652,-103.47186,2157,2022.0,10.0,30.0,57.218,,26.314,,41.766,
63,Alamo,48.54652,-103.47186,2157,2022.0,10.0,31.0,61.952,,34.691,,48.322,
64,Alamo,48.54652,-103.47186,2157,2022.0,11.0,1.0,63.842,,34.041,,48.942,
65,Alamo,48.54652,-103.47186,2157,2022.0,11.0,2.0,56.444,,31.309,,43.877,
66,Alamo,48.54652,-103.47186,2157,2022.0,11.0,3.0,33.067,,12.236,,22.652,
67,Alamo,48.54652,-103.47186,2157,2022.0,11.0,4.0,45.554,,13.568,,29.561,
68,Alamo,48.54652,-103.47186,2157,2022.0,11.0,5.0,53.384,,26.116,,39.750,
69,Alamo,48.54652,-103.47186,2157,2022.0,11.0,6.0,30.715,,7.736,,19.226,
70,Alamo,48.54652,-103.47186,2157,2022.0,11.0,7.0,27.196,,2.606,,14.901,
71,Alamo,48.54652,-103.47186,2157,2022.0,11.0,8.0,29.502,,14.504,,22.003,
72,Alamo,48.54652,-103.47186,2157,2022.0,11.0,9.0,14.792,,8.564,,11.678,
73,Alamo,48.54652,-103.47186,2157,2022.0,11.0,10.0,9.356,,2.732,,6.044,
74,Alamo,48.54652,-103.47186,2157,2022.0,11.0,11.0,8.312,,-12.982,,-2.335,
75,Alamo,48.54652,-103.47186,2157,2022.0,11.0,12.0,14.594,,-11.092,,1.751,
